begin	end	'elab.conway.power'	'AMD RAPL PCKG'	'AMD RAPL SINGLE_CORE'	experiment	thread_count	frequency	cstate	
50131839526712800	50137830295310200	227.842	176.982	65.4261	3	84	2200000000	2	
50141827203076800	50147826799669200	229.276	185.601	74.2347	9	84	2200000000	2	
50151826923000800	50157827418813200	201.335	136.346	24.3058	11	84	2200000000	2	
50161829628975800	50167835391051200	397.702	321.007	152.454	7	84	2200000000	2	
50171835235793000	50177828580503000	241.129	172.433	60.7522	4	88	2200000000	2	
50181826465055800	50187826338734200	254.93	192.048	80.6987	5	88	2200000000	2	
50191829678403000	50197839303111000	337.558	231.901	52.8591	8	88	2200000000	2	
50201847746566400	50207860507961600	325.733	198.519	30.6264	14	88	2200000000	2	
50211863510810800	50217855787220200	325.258	194.483	26.6411	13	88	2200000000	2	
50221848338278800	50227831954975200	228.09	177.324	65.7555	3	88	2200000000	2	
50231826758109000	50237827031664000	229.503	185.968	74.5652	9	88	2200000000	2	
50241827909264000	50247829937399000	201.495	136.686	24.6106	11	88	2200000000	2	
50251832426309600	50257837028686400	400.549	322.683	152.911	7	88	2200000000	2	
50261836163507800	50267828366795200	242.495	174.305	62.6188	4	92	2200000000	2	
50271825879963800	50277825771612200	256.663	194.904	83.5471	5	92	2200000000	2	
50281831068752000	50287846517123000	338.311	231.813	52.8599	8	92	2200000000	2	
50291857557658800	50297872346965200	326.211	198.664	30.7944	14	92	2200000000	2	
50301875635531800	50307866579635200	325.591	194.454	26.6877	13	92	2200000000	2	
50311856456525000	50317834092281000	228.402	177.466	65.8437	3	92	2200000000	2	
50321826787673800	50327826765746200	229.766	186.19	74.7678	9	92	2200000000	2	
50331827132892000	50337827944377000	202.132	136.979	24.8808	11	92	2200000000	2	
50341828466229000	50347828487670000	403.621	324.412	153.379	7	92	2200000000	2	
50351828006287600	50357825921499400	245.084	176.026	64.3267	4	96	2200000000	2	
50361825356848800	50367825202405200	259.784	197.796	86.4505	5	96	2200000000	2	
50371829502280400	50377842002369600	338.823	231.707	52.9323	8	96	2200000000	2	
50381852758558000	50387869521541000	326.634	198.712	30.9053	14	96	2200000000	2	
50391871321511000	50397855989738000	325.905	194.368	26.6543	13	96	2200000000	2	
50401846051993800	50407830728344200	228.65	177.648	66.0285	3	96	2200000000	2	
50411825815510000	50417826036997000	229.991	186.311	74.8719	9	96	2200000000	2	
50421825938236600	50427825119868400	202.179	137.348	25.2289	11	96	2200000000	2	
50431826803739400	50437832291817600	406.447	326.249	153.845	7	96	2200000000	2	
50441832386167200	50447826587767800	246.411	177.867	66.1624	4	100	2200000000	2	
50451824765696800	50457824604083200	261.873	200.615	89.2576	5	100	2200000000	2	
50461829819890800	50467845013327200	339.557	231.64	52.9978	8	100	2200000000	2	
50471856030227800	50477871175580200	327.032	198.731	30.9524	14	100	2200000000	2	
50481873421818400	50487861075550600	326.318	194.32	26.64	13	100	2200000000	2	
50491851082822400	50497831855925600	228.951	177.9	66.2274	3	100	2200000000	2	
50501825435756800	50507824965767200	230.611	186.445	74.9616	9	100	2200000000	2	
50511825480419000	50517827187524000	202.641	137.677	25.53	11	100	2200000000	2	
50521830020240800	50527836060536200	409.518	328.243	154.254	7	100	2200000000	2	
50531835428209800	50537826909565200	249.163	179.733	68.0198	4	104	2200000000	2	
50541824179347800	50547824015820200	264.49	203.744	92.4049	5	104	2200000000	2	
50551829227885800	50557844434690200	340.041	231.703	53.2201	8	104	2200000000	2	
50561855699538000	50567871497967000	327.322	198.978	31.2705	14	104	2200000000	2	
50571874621875600	50577864181142400	326.615	194.339	26.723	13	104	2200000000	2	
