# Bench 2500000 1096.05
# Bench 1500000 1827.50
# targetLowbound : 1094 ; targetHighbound : 1099
# targetQ1 : 1100 ; targetQ3 : 1100
# startLowbound : 1823 ; startHighbound : 1832
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
0	0	0
2673750	26554525	2666475
1937350	42500450	1932450
2421925	62502475	2416850
0	62502475	0
0	62502475	0
0	62502475	0
0	62502475	0
2631400	170026475	2626550
2014975	197529775	2010125
0	197529775	0
0	197529775	0
2113475	260030600	2108650
0	260030600	0
0	260030600	0
1962125	320031400	1957325
0	320031400	0
0	320031400	0
2112825	372516800	2108025
0	372516800	0
1190825	413074675	1178325
2939350	442505425	2934400
0	442505425	0
1165375	480031225	1158225
0	480031225	0
0	480031225	0
2539900	527535600	2535025
1513200	552521200	1508400
0	552521200	0
0	552521200	0
0	552521200	0
1854725	602507525	1850375
0	602507525	0
2207175	635034800	2202400
3238025	655032975	3233200
2749275	665039275	2744525
0	665039275	0
1917575	687537450	1913175
2909225	700033950	2904425
0	700033950	0
1311050	745043125	1306225
0	745043125	0
0	745043125	0
1916825	817535975	1912000
2454575	840033600	2449750
1472900	850037000	1468050
3225450	860036975	3220625
1901525	882512900	1896725
1186725	887538125	1182300
0	887538125	0
0	887538125	0
0	887538125	0
0	887538125	0
0	887538125	0
0	887538125	0
3233550	1027539150	3228775
0	1027539150	0
0	1027539150	0
0	1027539150	0
0	1027539150	0
0	1027539150	0
2304125	1130039200	2299225
0	1130039200	0
0	1130039200	0
1902125	1192514425	1897325
1980625	1207540425	1975900
0	1207540425	0
3003800	1252513225	2999000
1326100	1277537975	1321375
1619050	1297538250	1614300
0	1297538250	0
0	1297538250	0
3008625	1362515100	3003650
0	1362515100	0
3258375	1395042025	3253600
0	1395042025	0
3075725	1422514225	3070950
3109500	1430040550	3105200
3298375	1457544275	3293150
0	1457544275	0
0	1457544275	0
1409025	1490039850	1404275
3248725	1500042025	3243950
3341900	1512517625	3337075
0	1512517625	0
0	1512517625	0
0	1512517625	0
1923550	1580041400	1918575
2435000	1592517775	2430200
3156875	1607552150	3152075
1932250	1632534775	1927425
0	1632534775	0
3014375	1655044350	3008175
1808000	1672527750	1793125
0	1672527750	0
0	1672527750	0
2565625	1722517650	2560800
0	1722517650	0
2248550	1752525600	2243750
0	1752525600	0
3233175	1772525075	3228900
0	1772525075	0
3344050	1802518450	3339125
3118950	1830043000	3114150
2849325	1842520750	2844525
2581175	1865047625	2576375
1538150	1882519425	1533350
0	1882519425	0
1246525	1922525125	1241725
3243175	1937556700	3238425
1971100	1942549475	1966800
1503725	1957552050	1498900
1921200	1972519600	1916400
1186150	1982536850	1181350
1935750	2007333875	1930425
0	2007333875	0
0	2007333875	0
0	2007333875	0
0	2007333875	0
0	2007333875	0
2822400	2120047575	2817375
1825525	2147550400	1820775
928825	2155048675	924100
2092275	2162524525	2087975
977000	2190046725	972225
0	2190046725	0
1957150	2230049300	1952375
1220000	2242526875	1215250
1747475	2255049375	1742700
2545900	2272540125	2541075
0	2272540125	0
1971475	2315050525	1966500
0	2315050525	0
0	2315050525	0
0	2315050525	0
3892600	2404061200	3887825
1240525	2407554100	1236125
2466225	2417549750	2461425
3341125	2447554475	3336350
1291150	2460049500	1285975
0	2460049500	0
1580050	2510055675	1575325
2754075	2530057075	2749300
0	2530057075	0
2598725	2567559075	2593850
0	2567559075	0
1833675	2602526325	1828900
0	2602526325	0
0	2602526325	0
0	2602526325	0
1979125	2675051350	1974300
2098525	2700055600	2093750
1809225	2705066250	1804475
0	2705066250	0
0	2705066250	0
3163200	2750052525	3158450
0	2750052525	0
0	2750052525	0
0	2750052525	0
2100325	2837561675	2095575
1939675	2852531125	1934900
2558250	2880054500	2553525
2939975	2902543550	2935175
1832175	2917558275	1827325
