# Bench 2200000 1244.50
# Bench 1500000 1824.17
# targetLowbound : 1241 ; targetHighbound : 1248
# targetQ1 : 1225 ; targetQ3 : 1250
# startLowbound : 1820 ; startHighbound : 1828
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
0	0	0
0	0	0
2652475	42503875	2645975
2446375	62532725	2440100
2105725	87514600	2100275
0	87514600	0
1451725	115005500	1447425
0	115005500	0
0	115005500	0
0	115005500	0
2607525	212506000	2602725
0	212506000	0
2132125	260010375	2127275
0	260010375	0
2879950	305008025	2874600
0	305008025	0
1893975	332524500	1889150
3364350	357512300	3359475
2139525	375017375	2134750
0	375017375	0
0	375017375	0
3372125	442509825	3367175
2537775	460007800	2532375
3247925	482508000	3243100
1072325	500009775	1067100
0	500009775	0
0	500009775	0
1930275	557510000	1925475
3350025	567527350	3345750
2006175	592518300	2001075
3266950	602511500	3262125
1495575	610027625	1490775
1796625	637508700	1791775
1808750	642513250	1804475
3218025	662512425	3212825
0	662512425	0
0	662512425	0
1935000	695011850	1930625
2909725	707529075	2905400
0	707529075	0
1323875	752518000	1318825
0	752518000	0
1430900	800012425	1426050
1529850	825031325	1524950
0	825031325	0
0	825031325	0
3209200	867520550	3204875
1916100	890014850	1911150
1168250	895014500	1163900
1867475	900038700	1863100
1329725	912513375	1324925
2140950	930014625	2136025
0	930014625	0
2804575	982533000	2799725
0	982533000	0
2835275	1035016225	2829425
0	1035016225	0
1377675	1055013400	1373350
1822750	1070015825	1817950
1960900	1090018925	1956075
1547975	1110015975	1543200
0	1110015975	0
0	1110015975	0
2212525	1177540300	2207550
1539425	1200029575	1534550
1978650	1215036325	1973900
0	1215036325	0
0	1215036325	0
1306100	1282516150	1301275
1590250	1302517650	1585425
1955250	1330030050	1950300
0	1330030050	0
3028900	1367533675	3024500
0	1367533675	0
0	1367533675	0
1623375	1407535475	1618600
2718750	1427535825	2713975
0	1427535825	0
1217525	1460016875	1212675
2071575	1475018450	2066825
0	1475018450	0
1450925	1492527700	1446200
3239375	1502526025	3234625
0	1502526025	0
0	1502526025	0
3265175	1555021850	3260325
0	1555021850	0
0	1555021850	0
0	1555021850	0
1075950	1607542425	1071125
