# Bench 1500000 1826.87
# Bench 2500000 1094.99
# targetLowbound : 1822 ; targetHighbound : 1832
# targetQ1 : 1825 ; targetQ3 : 1825
# startLowbound : 1093 ; startHighbound : 1097
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
1507075	0	1494075
3498400	27500550	3495050
2929425	45044000	2923450
2680225	65037250	2676325
2339900	90016825	2336075
2429250	107516100	2425450
0	107516100	0
2273125	145037325	2270150
2459025	172503100	2456000
0	172503100	0
0	172503100	0
1552625	240006400	1549675
0	240006400	0
1266525	277505200	1263575
2725925	305039425	2723000
2159350	320002775	2156400
1667450	332505875	1664525
1113475	355036800	1110575
2347600	372505850	2344675
1143575	382506775	1140500
3369550	412520100	3366600
3168150	442506050	3165150
0	442506050	0
1200450	480008250	1197500
0	480008250	0
1027125	510007325	1024175
2735225	527505350	2732300
1731750	552509275	1728775
1057725	560010225	1054800
2248125	585033000	2245225
3512425	595032275	3509800
1702200	602506925	1699525
0	602506925	0
2263450	635038125	2260825
3465275	655029800	3462350
2971625	665048600	2969000
0	665048600	0
0	665048600	0
3111725	700008650	3108725
2333925	725030675	2331000
1133025	745034725	1130125
1166400	765030550	1163500
0	765030550	0
1737425	817511300	1733175
2663825	840015100	2660100
1684425	850010700	1681475
0	850010700	0
2122900	882508975	2119125
1385600	887511650	1382650
0	887511650	0
1777300	905043300	1774375
2377450	922510900	2374500
0	922510900	0
2598775	975029450	2595850
1259525	1000012650	1256500
3040250	1027510800	3037275
3087175	1040012575	3084250
1173450	1047511375	1170525
2052875	1062513200	2049950
2176525	1082514250	2173575
1768750	1102511425	1765800
0	1102511425	0
0	1102511425	0
1992250	1170014675	1989325
1753375	1192520625	1750425
2194800	1207527075	2191875
3049425	1227516550	3046500
0	1227516550	0
0	1227516550	0
1819100	1297515925	1816150
0	1297515925	0
1929775	1350016400	1926700
3245675	1362529825	3242800
2064700	1385028750	2061775
3090225	1395034150	3087575
0	1395034150	0
3131600	1422515500	3128675
3309075	1430015375	3306200
1016925	1455028150	1014000
2303250	1470019425	2300350
0	1470019425	0
0	1470019425	0
3448600	1497517100	3445975
0	1497517100	0
1769650	1522530575	1766725
3067200	1547520525	3064250
3093250	1560024025	3090350
0	1560024025	0
2854850	1587517950	2851900
0	1587517950	0
0	1587517950	0
1760650	1632528625	1757975
2837950	1650028300	2834950
2028250	1667531050	2025250
1856750	1685034475	1853825
1085125	1705027775	1082225
2394125	1717516725	2391175
3091425	1732521475	3088500
2087675	1747520175	2084725
1217900	1760025350	1215000
3447300	1767522150	3444650
0	1767522150	0
3388975	1797518800	3386050
