# Bench 1500000 1826.17
# Bench 2200000 1245.43
# targetLowbound : 1822 ; targetHighbound : 1830
# targetQ1 : 1825 ; targetQ3 : 1825
# startLowbound : 1242 ; startHighbound : 1249
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
0	0	0
1165250	24999500	1160900
2878250	42497300	2874050
2636725	62505625	2632225
2305200	87498975	2300375
0	87498975	0
1450275	114998975	1446875
2028425	142509475	2024900
2432675	170001100	2429275
2216000	197499225	2212650
0	197499225	0
1561125	237499150	1557700
1931375	260001800	1928000
1045625	274995900	1042325
2678850	302504025	2675500
2155825	317500850	2152550
0	317500850	0
1072225	352502100	1068825
2338125	370000450	2334600
1134300	380004000	1130950
3329450	410001500	3325325
3186525	440023475	3183150
2769325	457508650	2765500
983550	477507775	980225
0	477507775	0
1243650	507515200	1240375
2706825	525003325	2703525
1719375	550003225	1716050
1030000	557503725	1027000
0	557503725	0
1198425	590007000	1195075
1696050	597507100	1693050
2004125	625009975	2000750
2020050	630010850	2016300
3432825	650003625	3429525
2948575	660014325	2945225
2830175	677503225	2826825
1737800	682513375	1734775
3083900	695006925	3080525
2311250	720009100	2307900
1111450	740004275	1108125
1146675	760006875	1143325
1663600	787523575	1660250
1740175	812517550	1736875
2635675	835015475	2632325
1658000	845010125	1653625
3430750	855020425	3427475
2116400	877521000	2113050
1363375	882512825	1360350
2055950	887510375	2052925
0	887510375	0
2351225	917508100	2347900
3063175	940024850	3059850
2580350	970016900	2577000
1244075	995012925	1239925
3048825	1022512575	3045325
3078450	1035007075	3075100
1158550	1042509725	1155175
0	1042509725	0
2166875	1077512800	2163525
1755750	1097514100	1751775
2100275	1125008400	2096875
2383150	1147508700	2379800
0	1147508700	0
1734700	1187510000	1731350
0	1187510000	0
3245325	1222520450	3242000
0	1222520450	0
1719400	1272511775	1716050
1805225	1292510050	1801225
2158525	1320018100	2155175
1717950	1345012475	1714475
3226550	1357510950	3223250
